Iteration,Vehicle_ID,X,Y,Utility,Capacity,Neighbours
1,0,530,643,3.8587287789486675,0,0,1
1,1,458,419,3.50835661098237,0,0,2
1,2,342,529,0.0,1,0,2
1,3,378,504,3.08362321032632,0,0,2
1,4,414,575,3.8763897472877886,0,0,2
1,5,448,549,0.0,1,0,2
1,6,545,332,0.0,1,0,2
1,7,589,477,0.0,1,0,2
1,8,597,484,0.0,1,0,2
1,9,606,530,0.0,1,0,2
1,10,390,292,0.0,1,0,2
1,11,585,488,0.0,1,0,2
1,12,392,401,0.0,1,0,2
1,13,590,731,0.0,1,0,2
1,14,369,580,0.0,1,0,2
1,15,568,466,0.0,1,0,2
1,16,456,507,0.0,1,0,2
1,17,444,308,0.0,1,0,2
1,18,363,597,0.0,1,0,2
1,19,483,613,2.8775014723208874,0,0,2
1,20,586,397,4.26175884698833,0,0,2
1,21,459,616,4.477984674554472,0,0,2
1,22,511,492,0.0,1,0,2
1,23,545,510,4.539022777135356,0,0,2
1,24,771,588,0.0,1,0,2
1,25,386,773,0.0,1,0,2
1,26,407,290,0.0,1,0,2
1,27,446,366,3.881966011250105,0,0,2
1,28,520,335,0.0,1,0,2
1,29,450,332,0.0,1,0,2
1,30,665,514,0.0,1,0,2
1,31,601,546,3.948810197918568,0,0,2
1,32,537,632,0.0,1,0,2
1,33,650,540,0.0,1,0,2
1,34,458,329,0.0,1,0,2
1,35,512,298,0.0,1,0,2
1,36,425,578,3.3029437251522866,0,0,2
1,37,402,517,3.232940295292771,0,0,2
1,38,558,598,0.0,1,0,2
1,39,656,554,4.745049024320361,0,0,2
1,40,611,323,0.0,1,0,2
1,41,739,677,0.0,1,0,2
1,42,495,696,0.0,1,0,2
1,43,733,480,0.0,1,0,2
1,44,625,433,0.0,1,0,2
1,45,443,398,4.525658350974743,0,0,2
1,46,521,663,3.58490283019151,0,0,2
1,47,480,595,0.0,1,0,2
1,48,502,456,0.0,1,0,2
1,49,493,603,0.0,1,0,2
1,50,522,528,3.529455883014726,0,0,2
1,51,308,486,0.0,1,0,2
1,52,659,520,0.0,1,0,2
1,53,608,474,0.0,1,0,2
1,54,578,489,0.0,1,0,2
1,55,604,404,4.256696562634074,0,0,2
1,56,444,468,0.0,1,0,2
1,57,401,409,0.0,1,0,2
