Iteration,Cheesecake,Profiterole,Mucake
1,0,25,21
2,1,22,23
3,1,23,23
4,1,25,21
5,1,26,20
6,1,26,20
7,1,25,21
8,1,26,20
9,1,25,21
10,1,24,23
11,1,25,23
12,1,26,22
13,1,24,24
14,1,25,23
15,1,25,23
16,1,28,20
17,1,28,20
18,1,27,21
19,1,25,23
20,1,26,22
21,1,26,22
22,1,26,22
23,1,27,21
24,1,26,22
25,1,26,22
26,0,28,21
27,0,27,22
28,0,27,22
29,0,26,23
30,0,26,23
31,0,27,22
32,0,27,22
33,0,27,22
34,0,27,22
35,0,26,23
36,0,26,23
37,0,26,23
38,0,26,23
39,0,25,24
40,0,25,24
41,0,25,24
42,0,25,24
43,0,25,24
44,0,24,25
45,0,24,25
46,0,24,25
47,0,24,25
48,0,24,25
49,0,24,25
50,0,24,25
51,0,24,25
52,0,24,25
53,0,24,25
54,0,24,25
55,0,24,25
56,0,24,25
57,0,25,24
58,0,25,24
59,0,26,23
60,0,26,23
61,0,26,23
62,0,26,23
63,0,27,22
64,0,27,22
65,0,28,21
66,0,27,22
67,0,27,22
68,0,26,23
69,0,25,24
70,0,25,24
71,0,25,24
72,0,25,24
73,0,25,24
74,0,25,24
75,0,25,24
76,0,25,24
77,1,25,23
78,0,26,23
79,0,26,23
80,0,25,24
81,0,25,24
82,0,25,24
83,0,25,24
84,0,25,24
85,0,26,23
86,0,26,23
87,0,26,23
88,0,27,22
89,0,27,22
90,0,27,22
91,0,27,22
92,0,28,21
93,0,28,21
94,0,28,21
95,0,28,21
96,0,29,20
97,0,29,20
98,0,29,20
99,0,29,20
100,0,29,20
