Iteration,Passenger_ID,X,Y,Utility,Neighbours,Interest
20,1,538,406,4.75,32,1,1
20,2,387,650,4.664589803375032,23,1,1
20,3,491,452,4.708452405257734,42,1,1
20,4,435,581,4.75,44,1,1
20,5,491,654,5.0,24,1,1
20,6,809,496,3.469477213498603,6,1,2
20,7,464,401,4.776393202250022,36,1,2
20,8,370,533,4.75,38,1,2
20,9,655,274,4.30537780052751,9,1,2
20,10,450,523,4.745049024320361,51,1,2
20,11,401,558,4.8197224362268,39,1,2
20,12,623,215,4.539022777135356,8,1,2
20,13,675,645,4.284108946836182,14,1,2
20,14,389,467,4.730741759643275,38,1,2
20,15,591,451,5.0,30,1,2
20,16,599,258,4.639444872453601,11,1,2
20,17,458,442,5.0,37,1,2
20,18,639,590,4.609487516204668,22,1,2
20,19,469,439,4.858578643762691,41,1,2
20,20,343,552,4.9,30,1,2
20,21,302,372,4.787867965644035,12,1,2
20,22,669,705,4.303580586140794,10,1,2
20,23,424,268,4.664589803375032,16,1,2
20,24,709,511,4.8197224362268,15,1,2
20,25,411,541,4.664589803375032,41,1,2
20,26,316,416,4.75,17,1,2
20,27,282,461,4.52830094339717,16,1,2
20,28,497,332,4.929289321881345,22,1,2
20,29,448,588,4.683772233983162,41,1,2
20,30,440,664,4.619211344706804,22,1,2
20,31,474,414,4.841886116991581,36,1,3
20,32,575,223,4.080761184457488,7,1,3
20,33,505,592,4.841886116991581,42,1,3
20,34,366,628,4.5968871125850725,28,1,3
20,35,334,645,4.646446609406726,20,1,3
20,36,674,492,4.75,18,1,3
20,37,555,295,4.683772233983162,18,1,3
20,38,523,589,4.708452405257734,38,1,3
20,39,624,379,4.54723074309313,18,1,3
20,40,525,506,4.95,49,1,3
20,41,506,461,4.8197224362268,44,1,3
20,42,456,553,4.888196601125011,48,1,3
20,43,800,396,0.0,3,0,3
20,44,480,623,4.8197224362268,30,1,3
20,45,423,623,4.793844718719117,34,1,3
20,46,425,636,4.841886116991581,32,1,3
20,47,510,573,4.8,42,1,3
20,48,517,750,4.3423526781017046,7,1,3
20,49,650,678,4.776393202250022,11,1,3
20,50,469,300,4.497506218943956,20,1,3

