Iteration,Passengers' mean utility,Vehicles' mean utility,% Interested passengers,% Matched passengers,% Matched Vehicles,Interested passengers,Matched passengers,Matched Vehicles,Total Vehicles
1,3.1850808261196746,[D@1ac45389,86.0%,86.0%,30.069930069930066%,43,43,43,143
2,3.7490125083337897,[D@3e5d4f6b,90.0%,90.0%,26.47058823529412%,45,45,45,170
3,3.9562335894453238,[D@39c1fe0b,92.0%,92.0%,28.749999999999996%,46,46,46,160
4,4.048691454764199,[D@5ae95707,92.0%,92.0%,28.57142857142857%,46,46,46,161
5,4.103137988846015,[D@62891fc8,92.0%,92.0%,28.57142857142857%,46,46,46,161
6,4.129854914830744,[D@367b22e5,92.0%,92.0%,28.57142857142857%,46,46,46,161
7,4.198621476991484,[D@fca387,92.0%,92.0%,28.57142857142857%,46,46,46,161
8,4.208449200430687,[D@10bd9df0,92.0%,92.0%,28.57142857142857%,46,46,46,161
9,4.218554960902502,[D@3ae0b770,92.0%,92.0%,26.900584795321635%,46,46,46,171
10,4.319898540667987,[D@55e3d6c3,94.0%,94.0%,27.485380116959064%,47,47,47,171
11,4.357298518697159,[D@30e6a763,94.0%,94.0%,27.325581395348834%,47,47,47,172
12,4.373342567768596,[D@4c48fe92,94.0%,94.0%,27.325581395348834%,47,47,47,172
13,4.389181408934095,[D@732c9b5c,94.0%,94.0%,27.325581395348834%,47,47,47,172
14,4.397538416170841,[D@38320e34,96.0%,96.0%,27.906976744186046%,48,48,48,172
15,4.458000245246187,[D@3d6a6bee,96.0%,96.0%,27.906976744186046%,48,48,48,172
16,4.461638134667741,[D@36ddaebf,96.0%,96.0%,27.74566473988439%,48,48,48,173
17,4.464474062897718,[D@213c3543,96.0%,96.0%,25.945945945945947%,48,48,48,185
18,4.468896754259769,[D@9d7ccfe,96.0%,96.0%,25.945945945945947%,48,48,48,185
19,4.475365543817892,[D@670ce331,96.0%,96.0%,25.945945945945947%,48,48,48,185
20,4.4833542227174545,[D@3cff0139,96.0%,96.0%,25.945945945945947%,48,48,48,185
21,4.486348886963506,[D@7c29adc8,96.0%,96.0%,25.945945945945947%,48,48,48,185
22,4.493919325699721,[D@4b2e3e8f,96.0%,96.0%,25.945945945945947%,48,48,48,185
23,4.501340217737657,[D@4bbb49b0,96.0%,96.0%,25.945945945945947%,48,48,48,185
24,4.513281578300361,[D@f096f37,96.0%,96.0%,25.945945945945947%,48,48,48,185
25,4.518299016337784,[D@3effd4f3,96.0%,96.0%,25.945945945945947%,48,48,48,185
26,4.5327577682169435,[D@41f4fe5,96.0%,96.0%,25.945945945945947%,48,48,48,185
27,4.540620144278913,[D@15f8701f,96.0%,96.0%,25.945945945945947%,48,48,48,185
28,4.554364306168662,[D@514cd540,96.0%,96.0%,25.945945945945947%,48,48,48,185
29,4.5710621855677775,[D@11d4dbd6,96.0%,96.0%,25.945945945945947%,48,48,48,185
30,4.5710621855677775,[D@6f4ade6e,96.0%,96.0%,25.945945945945947%,48,48,48,185
31,4.574534321522776,[D@39e43310,96.0%,96.0%,25.945945945945947%,48,48,48,185
32,4.574534321522776,[D@eb507b9,96.0%,96.0%,25.945945945945947%,48,48,48,185
33,4.574534321522776,[D@390877d2,96.0%,96.0%,25.945945945945947%,48,48,48,185
34,4.577254302910961,[D@86733,96.0%,96.0%,25.945945945945947%,48,48,48,185
35,4.578100700763689,[D@186cb891,96.0%,96.0%,25.945945945945947%,48,48,48,185
36,4.584013729615823,[D@3ec2ecea,96.0%,96.0%,25.945945945945947%,48,48,48,185
37,4.589193989529374,[D@440eaa07,96.0%,96.0%,25.945945945945947%,48,48,48,185
38,4.5918061135144566,[D@7fc7c4a,96.0%,96.0%,25.945945945945947%,48,48,48,185
39,4.595490919465677,[D@7aa9e414,96.0%,96.0%,25.945945945945947%,48,48,48,185
40,4.59590513302805,[D@53a5e217,96.0%,96.0%,25.945945945945947%,48,48,48,185
