Area_sqKm,Population,Population_distribution,Vehicles_added_each_iteration,Vehicles_distribution,SP_0.1_Cheesecake,SP_0.5_Profiterole,SP_0.4_Mudcake
1,100,N,10,N,0,0,0
1,100,N,15,N,0,100,0
1,100,N,16,N,0,100,0
1,100,N,17,N,0,100,0
1,100,N,18,N,0,100,0
1,100,N,19,N,0,100,0
1,100,N,20,N,0,100,100
1,100,N,30,N,0,100,100
1,100,N,30,N,0,100,100
1,50,N,40,N,0,0,0
1,50,N,40,N,0,0,0
1,100,N,40,N,0,100,100
1,50,N,50,N,0,0,0
1,50,N,50,N,0,0,0
1,50,N,50,N,0,0,100
1,50,N,50,N,0,100,0
1,50,N,50,N,0,100,100
1,50,N,50,N,0,100,100
1,50,N,50,N,0,0,0
1,50,N,50,N,0,0,0
1,100,N,50,N,0,0,0
1,100,N,50,N,0,100,100
1,100,N,50,N,0,100,100
