Iteration,Passenger_ID,X,Y,Utility,Neighbours,Interest
1,1,819,488,0.0,1,0,2
1,2,477,502,2.6202678722175476,6,1,2
1,3,411,268,0.0,5,0,2
1,4,634,432,3.5326469409170813,6,1,2
1,5,518,519,0.0,5,0,2
1,6,578,403,0.0,5,0,2
1,7,653,409,0.0,5,0,2
1,8,561,665,0.0,3,0,2
1,9,526,606,0.0,5,0,2
1,10,647,526,0.0,5,0,2
1,11,270,546,0.0,2,0,2
1,12,197,495,0.0,1,0,2
1,13,442,816,0.0,2,0,2
1,14,722,629,0.0,2,0,2
1,15,648,324,0.0,5,0,2
1,16,467,566,0.0,4,0,2
1,17,441,714,0.0,3,0,2
1,18,494,552,0.0,5,0,2
1,19,472,259,0.0,5,0,2
1,20,686,292,0.0,4,0,2
1,21,279,396,0.0,1,0,2
1,22,588,266,0.0,4,0,2
1,23,439,551,0.0,3,0,2
1,24,303,191,0.0,1,0,2
1,25,412,343,2.074893164344249,6,1,2
1,26,498,481,0.0,5,0,2
1,27,512,436,0.0,4,0,2
1,28,361,542,0.0,3,0,2
1,29,207,562,0.0,2,0,2
1,30,638,806,0.0,3,0,2
1,31,521,429,0.0,5,0,2
1,32,381,709,0.0,3,0,2
1,33,450,503,0.0,5,0,2
1,34,505,498,1.2461686239256828,6,1,2
1,35,364,650,0.0,3,0,2
1,36,613,369,0.0,5,0,2
1,37,374,481,0.0,3,0,2
1,38,600,682,0.0,3,0,2
1,39,263,523,0.0,2,0,2
1,40,341,726,0.0,2,0,2
1,41,422,608,0.0,3,0,2
1,42,506,381,0.0,4,0,2
1,43,755,492,0.0,3,0,2
1,44,413,467,1.4885900267841123,6,1,2
1,45,535,748,0.0,3,0,2
1,46,526,571,0.0,5,0,2
1,47,732,393,0.0,3,0,2
1,48,647,547,0.0,5,0,2
1,49,291,627,0.0,1,0,2
1,50,419,690,0.0,3,0,2
1,51,390,506,0.0,3,0,2
1,52,298,435,0.0,1,0,2
1,53,467,469,0.0,5,0,2
1,54,720,550,0.0,2,0,2
1,55,674,437,3.817576640961453,6,1,2
1,56,622,349,0.0,5,0,2
1,57,545,206,0.0,3,0,2
1,58,457,315,0.0,5,0,2
1,59,378,448,0.0,4,0,2
1,60,510,692,0.0,4,0,2
1,61,508,548,0.0,5,0,3
1,62,613,458,0.0,4,0,3
1,63,432,309,0.0,5,0,3
1,64,276,591,0.0,1,0,3
1,65,555,575,0.0,4,0,3
1,66,458,367,0.0,5,0,3
1,67,330,468,0.0,5,0,3
1,68,390,624,0.0,2,0,3
1,69,729,420,0.0,1,0,3
1,70,496,525,4.31215917539012,6,1,3
1,71,253,569,0.0,0,0,3
1,72,476,556,0.0,5,0,3
1,73,379,613,0.0,3,0,3
1,74,204,279,0.0,0,0,3
1,75,702,495,0.0,2,0,3
1,76,428,415,4.675000000000001,6,1,3
1,77,750,517,0.0,1,0,3
1,78,638,489,0.0,4,0,3
1,79,454,412,4.381029079843002,6,1,3
1,80,336,476,0.0,5,0,3
1,81,520,502,3.5480616404268392,6,1,3
1,82,544,396,0.0,5,0,3
1,83,560,542,2.182975860948295,6,1,3
1,84,551,750,0.0,1,0,3
1,85,634,527,0.0,3,0,3
1,86,562,394,0.0,5,0,3
1,87,545,219,0.0,2,0,3
1,88,687,519,0.0,2,0,3
1,89,597,702,0.0,1,0,3
1,90,495,487,1.4012154829720636,6,1,3
1,91,484,531,0.0,6,1,3
1,92,397,540,0.0,5,0,3
1,93,388,567,0.0,5,0,3
1,94,456,644,0.0,2,0,3
1,95,534,680,0.0,2,0,3
1,96,453,552,0.0,5,0,3
1,97,690,503,0.0,2,0,3
1,98,616,413,0.0,4,0,3
1,99,676,531,0.0,3,0,3
1,100,330,584,0.0,3,0,3

