Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,0.49552133000344534,47,47.0%,19,19.0%,21,NaN,0,0.0,2.5155968222795013,12,100.0,3.12579542218143,7,100.0
2,0.36830760977668126,36,36.0%,17,17.0%,21,NaN,0,0.0,2.547393130149228,12,100.0,1.2584909351466602,5,0.0
3,0.2745037076446392,43,43.0%,13,13.0%,20,NaN,0,0.0,2.2702455597905264,11,100.0,0.4129449344613552,2,0.0
4,0.2666363587745349,40,40.0%,12,12.0%,19,NaN,0,0.0,2.4239668979503173,12,100.0,0.0,0,0.0
5,0.3557931580532528,37,37.0%,12,12.0%,18,NaN,0,0.0,3.234483255029571,12,100.0,0.0,0,0.0
6,0.2916031434672788,34,34.0%,12,12.0%,17,NaN,0,0.0,2.6509376678843526,12,100.0,0.0,0,0.0
7,0.24810044731049755,29,28.999999999999996%,11,11.0%,16,NaN,0,0.0,2.255458611913614,11,100.0,0.0,0,0.0
8,0.3762098655736773,40,40.0%,12,12.0%,15,NaN,0,0.0,3.42008968703343,12,100.0,0.0,0,0.0
9,0.3234486904446275,40,40.0%,12,12.0%,14,NaN,0,0.0,2.9404426404057045,12,100.0,NaN,0,0.0
10,0.29454445497679144,33,33.0%,12,12.0%,14,NaN,0,0.0,2.6776768634253765,12,100.0,NaN,0,0.0
