Iteration,Vehicle_ID,X,Y,Utility,Capacity,Neighbours
60,0,563,571,4.95,0,0,3
60,1,524,339,4.85,0,0,2
60,2,501,676,4.5968871125850725,0,0,3
60,3,521,473,4.776393202250022,0,0,2
60,4,548,615,4.776393202250022,0,0,2
60,5,377,493,4.8197224362268,0,0,2
60,6,288,576,4.683772233983162,0,0,2
60,7,327,611,4.639444872453601,0,0,2
60,8,542,435,4.75,0,0,3
60,9,637,455,4.858578643762691,0,0,2
60,10,506,318,4.5968871125850725,0,0,2
60,11,564,606,4.679843788128358,0,0,3
60,12,532,467,4.888196601125011,0,0,3
60,13,753,481,4.841886116991581,0,0,3
60,14,498,556,4.841886116991581,0,0,3
60,15,439,479,4.95,0,0,2
60,16,542,467,4.8,0,0,2
60,17,494,296,4.683772233983162,0,0,2
60,18,711,485,4.8197224362268,0,0,2
60,19,652,617,4.9,0,0,2
60,20,409,364,4.683772233983162,0,0,2
60,21,360,469,4.929289321881345,0,0,3
60,22,440,421,4.8,0,0,2
60,23,576,307,4.639444872453601,0,0,3
60,24,406,627,4.888196601125011,0,0,3
60,25,485,573,4.95,0,0,3
60,26,514,533,4.793844718719117,0,0,2
60,27,602,434,4.888196601125011,0,0,3
60,28,275,439,4.646446609406726,0,0,3
60,29,424,555,4.9,0,0,3
60,30,577,311,4.572799812734123,0,0,3
60,31,490,359,4.95,0,0,3
60,32,518,374,4.793844718719117,0,0,2
60,33,520,686,4.745049024320361,0,0,3
60,34,488,541,0.0,1,0,2
60,35,510,473,4.929289321881345,0,0,2
60,36,702,582,4.639444872453601,0,0,3
60,37,334,459,4.858578643762691,0,0,2
60,38,440,412,4.793844718719117,0,0,2
60,39,443,529,4.8197224362268,0,0,3
60,40,423,234,4.0780455542707115,0,0,2
60,41,694,353,4.8197224362268,0,0,2
60,42,366,371,4.787867965644035,0,0,2
60,43,449,536,0.0,1,0,1
60,44,542,500,0.0,1,0,2
60,45,469,445,0.0,1,0,2
60,46,575,252,0.0,1,0,2
60,47,674,788,0.0,1,0,2
60,48,469,342,0.0,1,0,2
60,49,337,567,0.0,1,0,2
