Iteration,Cheesecake,Profiterole,Mucake
1,0,14,13
2,0,18,15
3,0,19,15
4,0,19,15
5,0,19,15
6,0,20,15
7,0,20,16
8,0,20,16
9,0,22,16
10,0,22,17
11,0,22,17
12,0,22,17
13,0,22,17
14,0,22,17
15,0,22,17
16,0,22,17
17,0,22,17
18,0,22,17
19,0,22,17
20,0,22,17
21,0,22,17
22,0,22,17
23,0,23,17
24,0,23,17
25,0,23,17
26,0,23,17
27,0,23,17
28,0,23,17
29,0,23,17
30,0,23,17
31,0,23,17
32,0,23,17
33,0,23,17
34,0,23,17
35,0,23,17
36,0,23,17
37,0,23,17
38,0,23,17
39,0,23,17
40,0,23,17
41,0,23,17
42,0,23,17
43,0,23,17
44,0,23,17
45,0,23,17
46,0,23,17
47,0,23,17
48,0,23,17
49,0,23,17
50,0,23,17
51,0,23,17
52,0,23,17
53,0,23,17
54,0,23,17
55,0,23,17
56,0,23,17
57,0,23,17
58,0,23,17
59,0,23,17
60,0,23,17
61,0,23,17
62,0,23,17
63,0,23,17
64,0,23,17
65,0,23,17
66,0,23,17
67,0,23,17
68,0,23,17
69,0,23,17
70,0,23,17
71,0,23,17
72,0,23,17
73,0,23,17
74,0,23,17
75,0,23,17
76,0,23,17
77,0,23,17
78,0,23,17
79,0,23,17
80,0,23,17
81,0,23,17
82,0,23,17
83,0,23,17
84,0,23,17
85,0,23,17
86,0,23,17
87,0,23,17
88,0,23,17
89,0,23,17
90,0,23,17
91,0,23,17
92,0,23,17
93,0,23,17
94,0,23,17
95,0,23,17
96,0,23,17
97,0,23,17
98,0,23,17
99,0,23,17
100,0,23,17
