Iteration,Passengers' mean utility,Vehicles' mean utility,% Interested passengers,% Matched passengers,% Matched Vehicles,Interested passengers,Matched passengers,Matched Vehicles,Total Vehicles
1,0.0,[D@1162410a,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
2,0.0,[D@b09fac1,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
3,0.0,[D@62df0ff3,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
4,0.0,[D@61019f59,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
5,0.0,[D@62e8f862,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
6,0.0,[D@26f3d90c,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
7,0.0,[D@3c49fab6,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
8,0.0,[D@515f4131,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
9,0.0,[D@74518890,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
10,0.0,[D@4c5204af,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
11,0.0,[D@3f3ddbd9,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
12,0.0,[D@14c053c6,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
13,0.0,[D@6c2d4cc6,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
14,0.0,[D@30865a90,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
15,0.0,[D@6134ac4a,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
16,0.0,[D@777c9dc9,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
17,0.0,[D@71b1a49c,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
18,0.0,[D@73e132e0,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
19,0.0,[D@3773862a,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
20,0.0,[D@2472c7d8,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
21,0.0,[D@589b028e,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
22,0.0,[D@22175d4f,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
23,0.0,[D@9fecdf1,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
24,0.0,[D@3b809711,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
25,0.0,[D@3b0f7d9d,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
26,0.0,[D@236ab296,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
27,0.0,[D@5c84624f,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
28,0.0,[D@63034ed1,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
29,0.0,[D@232024b9,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
30,0.0,[D@55a8dc49,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
31,0.0,[D@2a415aa9,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
32,0.0,[D@53cdecf6,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
33,0.0,[D@71ea1fda,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
34,0.0,[D@62b3df3a,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
35,0.0,[D@420745d7,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
36,0.0,[D@7e11ab3d,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
37,0.0,[D@5fa47fea,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
38,0.0,[D@2392212b,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
39,0.0,[D@5b43e173,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
40,0.0,[D@28f8e165,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
41,0.0,[D@545f80bf,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
42,0.0,[D@66f66866,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
43,0.0,[D@22fa55b2,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
44,0.0,[D@4d666b41,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
45,0.0,[D@6594402a,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
46,0.0,[D@30f4b1a6,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
47,0.0,[D@405325cf,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
48,0.0,[D@3e1162e7,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
49,0.0,[D@79c3f01f,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
50,0.0,[D@6c2f1700,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
51,0.0,[D@350b3a17,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
52,0.0,[D@38600b,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
53,0.0,[D@669d2b1b,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
54,0.0,[D@721eb7df,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
55,0.0,[D@1ea9f009,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
56,0.0,[D@5d52e3ef,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
57,0.0,[D@5298dead,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
58,0.0,[D@553f3b6e,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
